name,ra_01,dec_01,ra,dec,dist_x,mjd,w1mpro,w1sigmpro,w2mpro,w2sigmpro,qual_frame,cc_flags
P1823,245.16306,43.137382,245.163013,43.1374906,0.409993,57059.1480413,14.263,0.057,12.993,0.068,10,0000
P1823,245.16306,43.137382,245.1629441,43.1373568,0.317695,57059.21374767,14.233,0.052,12.705,0.071,10,0000
P1823,245.16306,43.137382,245.1630653,43.1374012,0.070508,57059.27945414,14.264,0.076,12.946,0.064,10,0000
P1823,245.16306,43.137382,245.1630017,43.137403,0.170796,57059.34503325,14.149,0.059,13.007,0.066,10,0000
P1823,245.16306,43.137382,245.1630365,43.1374236,0.161985,57059.41073972,14.262,0.077,12.961,0.062,10,0000
P1823,245.16306,43.137382,245.1631021,43.1374425,0.244271,57059.54215266,14.283,0.058,13.021,0.06,10,0000
P1823,245.16306,43.137382,245.1629326,43.1373582,0.34547,57059.6735656,14.42,0.075,12.923,0.058,5,0000
P1823,245.16306,43.137382,245.1629658,43.1374382,0.319641,57059.80485123,14.275,0.063,12.916,0.06,10,0000
P1823,245.16306,43.137382,245.1630767,43.1374313,0.182822,57059.80497859,14.169,0.053,12.96,0.059,5,0000
P1823,245.16306,43.137382,245.1629555,43.1373924,0.277061,57235.83501962,14.377,0.069,13.079,0.064,10,0000
P1823,245.16306,43.137382,245.1629961,43.1373105,0.3073,57235.96617745,14.33,0.067,12.972,0.065,10,0000
P1823,245.16306,43.137382,245.1629772,43.1374831,0.424004,57236.09733535,14.449,0.096,13.458,0.096,5,0000
P1823,245.16306,43.137382,245.162988,43.1374048,0.206184,57236.16304163,14.304,0.061,12.987,0.064,10,0000
P1823,245.16306,43.137382,245.1629124,43.1373918,0.389344,57236.2286206,14.269,0.056,12.989,0.104,10,0000
P1823,245.16306,43.137382,245.1630226,43.1373993,0.116326,57236.29419943,14.206,0.053,13.009,0.064,10,0000
P1823,245.16306,43.137382,245.1630469,43.1374487,0.242573,57236.35977836,14.301,0.08,13.074,0.07,10,0000
P1823,245.16306,43.137382,245.1631018,43.1373364,0.1975,57236.42535733,14.354,0.077,12.992,0.063,10,0000
P1823,245.16306,43.137382,245.1630342,43.1373064,0.280472,57236.49093682,14.173,0.063,12.936,0.057,10,0000
P1823,245.16306,43.137382,245.1629406,43.1373603,0.323243,57236.49106418,14.237,0.051,12.925,0.056,10,0000
P1823,245.16306,43.137382,245.1629994,43.1373865,0.160017,57236.55664306,14.244,0.069,12.885,0.123,10,0000
P1823,245.16306,43.137382,245.1629901,43.1374167,0.222089,57236.62222198,14.263,0.056,12.913,0.102,5,0000
P1823,245.16306,43.137382,245.1631021,43.137418,0.170375,57236.68780095,14.371,0.06,12.994,0.075,10,0000
P1823,245.16306,43.137382,245.1630563,43.1374086,0.096252,57236.75337986,14.274,0.056,13.004,0.065,10,0000
P1823,245.16306,43.137382,245.1629715,43.137373,0.234734,57236.81895883,14.3,0.082,12.927,0.056,10,0000
P1823,245.16306,43.137382,245.1629978,43.1373543,0.191424,57236.88466507,14.143,0.051,13.057,0.084,10,0000
P1823,245.16306,43.137382,245.1630314,43.1374093,0.123708,57236.95024404,14.379,0.073,13.029,0.079,10,0000
P1823,245.16306,43.137382,245.1629982,43.1374129,0.196802,57237.01582296,14.352,0.06,12.948,0.058,10,0000
P1823,245.16306,43.137382,245.1630011,43.1373931,0.159806,57237.08140193,14.372,0.058,12.881,0.179,10,0000
P1823,245.16306,43.137382,245.1629826,43.1374211,0.247297,57237.1469809,14.111,0.053,13.02,0.078,10,0000
P1823,245.16306,43.137382,245.1630069,43.1373914,0.143539,57237.21255978,14.144,0.053,13.104,0.082,10,0000
P1823,245.16306,43.137382,245.1629706,43.137349,0.26319,57237.27813875,14.493,0.078,12.933,0.061,5,0000
P1823,245.16306,43.137382,245.1630926,43.1373211,0.235373,57237.27826606,14.313,0.086,13.123,0.069,10,0000
P1823,245.16306,43.137382,245.1630004,43.1373387,0.220935,57237.34384503,14.257,0.055,12.914,0.055,10,0000
P1823,245.16306,43.137382,245.1629729,43.1373602,0.241895,57237.47500288,14.206,0.057,12.978,0.072,10,0000
P1823,245.16306,43.137382,245.1630591,43.137391,0.032486,57237.60616072,14.206,0.061,13.046,0.063,10,0000
P1823,245.16306,43.137382,245.1630174,43.1374158,0.165317,57425.17744759,14.382,0.061,13.073,0.064,5,0000
P1823,245.16306,43.137382,245.1630836,43.1374181,0.14399,57425.30860613,14.358,0.063,13.025,0.062,5,0000
P1823,245.16306,43.137382,245.1631134,43.137368,0.14906,57425.43976481,14.486,0.066,13.063,0.063,5,0000
P1823,245.16306,43.137382,245.1630987,43.1374345,0.214608,57425.57079608,14.401,0.06,12.918,0.066,10,0000
P1823,245.16306,43.137382,245.1630674,43.1375242,0.512289,57425.63637539,14.254,0.058,13.21,0.09,10,0000
P1823,245.16306,43.137382,245.1629852,43.1374396,0.285674,57425.70195476,14.428,0.092,13.007,0.065,10,0000
P1823,245.16306,43.137382,245.1631198,43.1373034,0.323643,57425.76753407,14.291,0.07,13.113,0.064,10,0000
